index;Titel;Autor_normalisiert;Jahr;Geschlecht;Gattung;all_words_count;AbstConc;anteil_AbstConc
247;Himmlische und irdische Liebe;Meysenbug, Malwida Freiin von;1905;f;Roman;37868;8.437.608.800.000.080;2.228.163.304.109.030
248;Siegwart. Eine Klostergeschichte;Miller, Johann Martin;1776;m;Roman;121752;25.385.200.699.998.700;2.084.992.501.149.770
249;Der Garten der Qualen;Mirbeau, Octave;1899;m;Roman;62464;14.031.562.900.000.500;22.463.439.581.199.700
250;Die Mandanenwaise;Möllhausen, Balduin;1865;m;Roman;189401;4.207.604.280.000.580;22.215.322.411.183.500
251;Maler Nolten;Mörike, Eduard;1832;m;Roman;131865;29.423.607.299.999.200;2.231.343.214.651.290
252;Anton Reiser;Moritz, Karl Philipp;1785;m;Roman;131523;2.898.911.549.999.900;22.041.099.655.572.800
253;Andreas Hartknopf. Eine Allegorie;Moritz, Karl Philipp;1786;m;Roman;24991;5.238.266.900.000.010;2.096.061.342.083.150
254;Andreas Hartknopfs Predigerjahre;Moritz, Karl Philipp;1790;m;Roman;15664;33.998.855.000.000.200;21.705.091.292.135.000
255;Siegfried von Lindenberg;Müller, Johann Gottwerth;1779;m;Roman;47562;9.244.784.600.000.420;19.437.333.585.636.400
256;Tropen. Der Mythos der Reise. Urkunden eines deutschen Ingenieurs;Müller, Robert;1915;m;Roman;105815;2.386.883.229.999.880;22.557.134.905.258.100
258;Madonna. Unterhaltungen mit einer Heiligen;Mundt, Theodor;1835;m;Roman;66675;14.175.868.400.000.300;2.126.114.495.688.090
260;Die Amtmannin von Hohenweiler;Naubert, Benedikte;1787;f;Roman;114278;23.027.815.399.999.200;20.150.698.647.158.000
261;Herrmann von Unna;Naubert, Benedikte;1788;f;Roman;131368;27.358.389.399.998.800;20.825.763.808.537
262;Alf von Dülmen;Naubert, Benedikte;1790;f;Roman;100477;2.043.762.199.999.950;2.034.059.735.063.700
263;Das Leben und die Meinungen des Herrn Magister Sebaldus Nothanker;Nicolai, Friedrich;1773;m;Roman;122704;26.486.724.799.998.200;21.585.869.083.321.000
264;Heinrich von Ofterdingen;Novalis;1802;m;Roman;48848;10.721.281.700.000.300;21.948.251.105.470.600
265;Die Lehrlinge zu Sais;Novalis;1802;m;Roman;10756;22.587.708.000.000.000;21.000.100.409.074.000
266;Schloß und Fabrik;Otto, Louise;1846;f;Roman;113381;2.448.452.559.999.780;21.594.910.611.123.400
267;Nürnberg. Erster Band;Otto, Louise;1858;f;Roman;53070;11.692.240.000.000.500;2.203.173.167.514.690
268;Nürnberg. Zweiter Band;Otto, Louise;1858;f;Roman;48298;10.538.329.100.000.300;21.819.390.243.903.200
269;Nürnberg. Dritter Band;Otto, Louise;1858;f;Roman;49249;10.356.481.400.000.600;21.028.815.610.470.500
270;Godwie-Castle;Paalzow, Henriette von;1838;f;Roman;214251;45.596.704.700.002.000;2.128.190.986.273.200
271;Ste. Roche;Paalzow, Henriette von;1839;f;Roman;234510;493.459.814.000.054;21.042.165.110.232.100
272;Lienhard und Gertrud 1;Pestalozzi, Johann Heinrich;1781;m;Roman;70507;13.951.206.000.000.300;19.786.980.016.169.000
273;Lienhard und Gertrud 2;Pestalozzi, Johann Heinrich;1781;m;Roman;64333;11.727.399.000.000.300;18.229.212.068.456.800
274;Lienhard und Gertrud 3;Pestalozzi, Johann Heinrich;1781;m;Roman;82435;15.156.072.900.000.100;18.385.482.986.595.600
275;Lienhard und Gertrud 4;Pestalozzi, Johann Heinrich;1781;m;Roman;92335;17.449.724.799.999.500;1.889.827.779.281.910
276;Agathocles;Pichler, Karoline;1828;f;Roman;140642;2.850.507.820.000.030;20.267.827.675.943.400
277;Der Büttnerbauer;Polenz, Wilhelm von;1895;m;Roman;118329;27.525.104.499.999.700;23.261.503.519.846.900
278;Die Chronik der Sperlingsgasse;Raabe, Wilhelm;1857;m;Roman;48076;11.773.804.200.000.200;24.489.982.943.672.900
279;Der Hungerpastor;Raabe, Wilhelm;1863;m;Roman;142903;3.333.118.680.000.220;23.324.343.645.691.300
280;Die Leute aus dem Walde, ihre Sterne, Wege und Schicksale;Raabe, Wilhelm;1863;m;Roman;126260;3.016.322.150.000.010;23.889.768.335.181.400
281;Abu Telfan oder Die Heimkehr vom Mondgebirge;Raabe, Wilhelm;1867;m;Roman;116853;2.666.748.829.999.910;2.282.139.808.134.930
282;Der Schüdderump;Raabe, Wilhelm;1869;m;Roman;116443;26.156.484.899.997.900;22.462.908.805.164.700
283;Alte Nester;Raabe, Wilhelm;1879;m;Roman;83117;18.634.035.800.000.000;2.241.904.279.509.600
284;Im alten Eisen;Raabe, Wilhelm;1887;m;Roman;54456;12.555.422.900.000.700;2.305.608.729.983.980
285;Das Odfeld;Raabe, Wilhelm;1888;m;Roman;60204;135.177.869.000.008;22.453.303.601.090.900
286;Stopfkuchen. Eine See- und Mordgeschichte;Raabe, Wilhelm;1891;m;Roman;63364;14.076.983.200.000.800;2.221.605.832.965.220
287;Die Akten des Vogelsangs;Raabe, Wilhelm;1896;m;Roman;61255;13.492.047.800.000.800;22.026.035.099.177.000
288;Hastenbeck;Raabe, Wilhelm;1899;m;Roman;58805;13.396.661.200.000.700;22.781.500.212.568.200
289;Anti-Justine;Restif de la Bretonne, Nicolas Édmé;1793;m;Roman;42152;9.241.698.900.000.140;219.246.984.721.962
290;Ellen Olestjerne;Reventlow, Franziska Gräfin zu;1903;f;Roman;61485;14.166.139.300.000.200;2.303.999.235.585.950
291;Von Paul zu Pedro;Reventlow, Franziska Gräfin zu;1912;f;Roman;20993;4.527.275.200.000.030;2.156.564.188.062.700
292;Herrn Dames Aufzeichnungen;Reventlow, Franziska Gräfin zu;1913;f;Roman;34505;7.567.937.400.000.230;2.193.287.175.771.690
293;Der Geldkomplex;Reventlow, Franziska Gräfin zu;1916;f;Roman;24826;54.305.975.000.000.500;2.187.463.747.683.900
295;Die Aufzeichnungen des Malte Laurids Brigge;Rilke, Rainer Maria;1910;m;Roman;59301;12.867.547.600.000.400;21.698.702.551.391.000
296;Die Schriften des Waldschulmeisters;Rosegger, Peter;1875;m;Roman;70761;1.597.247.160.000.020;2.257.242.209.691.810
297;Der Pedlar;Ruppius, Otto;1857;m;Roman;74963;17.009.883.100.000.000;22.691.038.378.933.700
298;Das Vermächtnis des Pedlars;Ruppius, Otto;1859;m;Roman;80898;1.807.342.800.000.010;2.234.100.719.424.470
299;Venus im Pelz;Sacher-Masoch, Leopold von;1869;m;Roman;38049;8.637.297.700.000.210;22.700.459.144.787.500
300;Paralyse;Sack, Gustav;1913;m;Roman;20129;4.490.920.099.999.990;2.231.069.650.752.640
301;Die Geschichte der Justine oder die Nachteile der Tugend;Sade, Marquis de;1791;m;Roman;175389;3.723.085.070.000.220;21.227.585.937.545.800
302;Tarub, Bagdads berühmte Köchin;Scheerbart, Paul;1897;m;Roman;51668;12.332.221.000.000.600;2.386.819.888.519.130
303;Liwûna und Kaidôh. Ein Seelenroman;Scheerbart, Paul;1901;m;Roman;18703;41.538.294.999.999.900;2.220.942.896.861.460
304;Immer mutig!;Scheerbart, Paul;1902;m;Roman;53466;12.437.901.700.000.300;2.326.319.848.127.850
305;Lesabéndio. Ein Asteroiden-Roman;Scheerbart, Paul;1913;m;Roman;49840;10.475.322.000.000.500;21.017.901.284.110.200
306;Ekkehard;Scheffel, Joseph Viktor von;1855;m;Roman;155761;34.638.138.700.001.300;22.238.004.827.910.200
307;Der Geisterseher;Schiller, Friedrich;1788;m;Roman;38044;8.255.398.000.000.190;21.699.605.719.693.400
308;Die Denkwürdigkeiten des Herrn v. H.;Schilling, Friedrich Gustav;1787;m;Roman;45970;1.039.558.400.000.030;226.138.438.111.819
309;Florentin;Schlegel, Dorothea;1801;f;Roman;56842;124.403.313.000.007;21.885.808.557.054.100
310;Lucinde;Schlegel, Friedrich;1799;m;Roman;29977;6.068.864.299.999.980;20.245.068.886.145.900
311;Frau Berta Garlan;Schnitzler, Arthur;1901;m;Roman;48563;11.232.444.500.000.500;2.312.963.470.131.680
312;Der Weg ins Freie;Schnitzler, Arthur;1907;m;Roman;117845;2.796.051.880.000.020;23.726.521.108.235.500
313;Doktor Gräsler, Badearzt;Schnitzler, Arthur;1917;m;Roman;34702;81.481.001.000.001;23.480.203.158.319.600
314;Casanovas Heimfahrt;Schnitzler, Arthur;1918;m;Roman;36006;822.270.840.000.014;2.283.705.049.158.510
315;Anna;Schopenhauer, Adele;1845;f;Roman;89890;199.718.083.999.992;2.221.805.362.109.150
316;Gabriele;Schopenhauer, Johanna;1819;f;Roman;153535;3.285.566.359.999.900;21.399.461.751.391.500
317;Die Tante;Schopenhauer, Johanna;1823;f;Roman;122453;2.631.917.799.999.840;21.493.289.670.321.100
318;Richard Wood;Schopenhauer, Johanna;1837;f;Roman;112265;24.947.685.899.998.600;2.222.214.038.213.030
319;Aus den Memoiren einer Sängerin;Schröder-Devrient, Wilhelmine;1829;f;Roman;83375;18.196.953.399.999.700;2.182.543.136.431.750
320;Ivanhoe;Scott, Sir Walter;1819;m;Roman;148109;3.299.205.190.000.010;22.275.521.339.013.900
322;Problematische Naturen. Erste Abtheilung;Spielhagen, Friedrich;1861;m;Roman;190868;4.329.275.740.000.550;22.682.040.677.329.600
323;Problematische Naturen. Zweite Abtheilung (Durch Nacht zum Licht);Spielhagen, Friedrich;1861;m;Roman;169341;3.837.774.400.000.180;22.662.995.966.719.100
324;Hammer und Amboß;Spielhagen, Friedrich;1869;m;Roman;271263;5.979.799.690.000.320;22.044.287.978.826.100
325;Zum Zeitvertreib;Spielhagen, Friedrich;1897;m;Roman;57097;12.923.873.300.000.700;22.634.942.816.611.500
326;Faustulus;Spielhagen, Friedrich;1898;m;Roman;68144;155.811.542.000.003;2.286.504.196.994.640
327;Der Jude;Spindler, Carl;1827;m;Roman;262221;5.712.679.200.000.370;2.178.574.256.066.580
328;Conrad;Spitteler, Carl;1898;m;Roman;41703;9.395.012.200.000.230;22.528.384.528.691.500
329;Imago;Spitteler, Carl;1906;m;Roman;46916;9.908.116.000.000.290;21.118.842.186.035.200
330;Die Mädchenfeinde;Spitteler, Carl;1907;m;Roman;26213;600.509.919.999.998;2.290.885.896.310.980
331;Heidis Lehr- und Wanderjahre;Spyri, Johanna;1880;f;Roman;51187;11.933.742.600.000.400;2.331.401.058.862.680
332;Heidi kann brauchen, was es gelernt hat;Spyri, Johanna;1881;f;Roman;37366;863.012.140.000.034;23.096.187.443.131.000
335;Die Mappe meines Urgroßvaters;Stifter, Adalbert;1841;m;Roman;70588;16.146.787.000.000.200;22.874.691.165.637.600
336;Feldblumen;Stifter, Adalbert;1841;m;Roman;37247;8.366.429.700.000.030;22.462.022.981.716.700
337;Die Narrenburg;Stifter, Adalbert;1843;m;Roman;35136;8.054.725.100.000.030;22.924.422.529.599.300
338;Der Hagestolz;Stifter, Adalbert;1845;m;Roman;39763;9.255.785.800.000.270;23.277.382.994.241.500
339;Zwei Schwestern;Stifter, Adalbert;1846;m;Roman;49639;11.406.893.100.000.600;22.979.699.631.339.500
340;Der Nachsommer;Stifter, Adalbert;1857;m;Roman;248357;5.630.552.930.001.070;2.267.120.689.169.650
341;Witiko;Stifter, Adalbert;1865;m;Roman;276665;6.580.546.130.001.380;23.785.249.778.618.100
342;Der Schimmelreiter;Storm, Theodor;1888;m;Roman;38334;9.220.331.200.000.090;24.052.619.606.615.700
344;Frau Sorge;Sudermann, Hermann;1887;m;Roman;66245;15.577.135.000.000.000;23.514.431.277.832.400
345;Jons und Erdme;Sudermann, Hermann;1917;m;Roman;40510;8.717.296.200.000.170;21.518.874.845.717.500
346;Die Waffen nieder!;Suttner, Bertha von;1889;f;Roman;129146;28.134.815.199.999.700;2.178.527.805.739.210
347;Marthas Kinder;Suttner, Bertha von;1902;f;Roman;85043;1.852.613.489.999.960;21.784.432.463.576.700
349;Andreas Vöst;Thoma, Ludwig;1906;m;Roman;77482;15.001.594.400.000.400;19.361.392.839.627.800
350;Der Wittiber;Thoma, Ludwig;1911;m;Roman;54886;7.933.157.600.000.210;14.453.881.864.228.000
352;Reise in die mittäglichen Provinzen von Frankreich im Jahre 1785-1786;Thümmel, Moritz August von;1791;m;Roman;282624;5.917.734.149.999.840;2.093.854.078.209.860
353;Geschichte des Herrn William Lovell;Tieck, Ludwig;1795;m;Roman;160378;3.359.595.770.000.280;20.947.983.950.418.900
354;Franz Sternbalds Wanderungen;Tieck, Ludwig;1798;m;Roman;102629;22.411.591.299.999.800;21.837.483.849.593.900
355;Der junge Tischlermeister;Tieck, Ludwig;1836;m;Roman;125550;27.514.688.699.999.500;21.915.323.536.439.300
356;Vittoria Accorombona;Tieck, Ludwig;1840;m;Roman;102102;22.394.959.799.999.500;2.193.390.903.214.380
359;Väter und Söhne;Turgenev, Ivan Sergeeviç;1861;m;Roman;69425;153.574.080.000.001;2.212.086.136.118.120
361;Julchen Grünthal;Unger, Friederike Helene;1784;f;Roman;97871;2.054.289.199.999.990;2.098.976.407.720.350
362;Albert und Albertine;Unger, Friederike Helene;1804;f;Roman;44779;939.508.220.000.026;2.098.100.046.897.040
363;Bekenntnisse einer schönen Seele;Unger, Friederike Helene;1806;f;Roman;49440;9.709.879.200.000.590;19.639.723.300.972.000
364;Die Zerissenen;Ungern-Sternberg, Alexander von;1832;m;Roman;43254;10.001.571.100.000.200;23.122.881.352.014.200
369;Auch Einer 1;Vischer, Friedrich Theodor;1879;m;Roman;81585;18.114.066.899.999.700;22.202.692.774.406.700
370;Auch Einer 2;Vischer, Friedrich Theodor;1879;m;Roman;78163;17.031.635.599.999.800;2.178.989.496.308.970
371;Ini;Voß, Julius;1810;m;Roman;58511;13.187.610.000.000.700;22.538.685.033.584.600
372;Rinaldo Rinaldini, der Räuberhauptmann;Vulpius, Christian August;1799;m;Roman;139629;30.614.279.900.001.100;219.254.452.155.363
373;Die Briten in Rom;Waiblinger, Wilhelm;1828;m;Roman;37682;8.420.121.400.000.110;22.345.208.322.276.100
374;Die Burg von Otranto;Walpole, Horace;1764;m;Roman;36759;7.660.826.800.000.120;20.840.683.370.059.300
375;Die Juden von Zirndorf;Wassermann, Jakob;1897;m;Roman;81000;19.476.119.299.999.500;2.404.459.172.839.450
376;Caspar Hauser;Wassermann, Jakob;1907;m;Roman;131204;3.056.700.560.000.030;23.297.312.277.065
377;Das Gänsemännchen;Wassermann, Jakob;1915;m;Roman;160151;3.809.866.570.000.350;2.378.921.499.085.460
378;Christian Wahnschaffe;Wassermann, Jakob;1919;m;Roman;244751;5.661.292.130.001.210;2.313.082.328.571.160
379;Fragment eines Romans;Weerth, Georg;1846;m;Roman;51296;11.831.421.000.000.400;23.064.997.270.743.300
380;Schnapphahnski;Weerth, Georg;1848;m;Roman;47914;1.096.174.840.000.030;2.287.796.552.156.010
381;Belphegor;Wezel, Johann Karl;1776;m;Roman;93108;18.681.230.699.999.900;2.006.404.465.781.660
382;Hermann und Ulrike;Wezel, Johann Karl;1780;m;Roman;258437;5.546.406.820.001;2.146.134.965.195
383;Kakerlak oder die Geschichte eines Rosenkreuzers;Wezel, Johann Karl;1784;m;Roman;28032;63.981.098.000.000.500;2.282.430.722.031.980
384;Die Abenteuer des Don Sylvio von Rosalva;Wieland, Christoph Martin;1764;m;Roman;123989;25.481.030.199.999.500;20.551.040.979.441.300
385;Geschichte des Agathon;Wieland, Christoph Martin;1766;m;Roman;160988;31.346.934.200.000.900;19.471.596.764.976.800
386;Der goldene Spiegel;Wieland, Christoph Martin;1772;m;Roman;120279;24.180.131.699.999.100;2.010.336.941.610.680
387;Geschichte der Abderiten;Wieland, Christoph Martin;1774;m;Roman;107413;21.751.191.599.999.200;2.025.005.502.127.230
388;Peregrinus Proteus;Wieland, Christoph Martin;1788;m;Roman;115173;22.939.416.199.999.300;1.991.735.580.387.700
389;Aristipp und einige seiner Zeitgenossen;Wieland, Christoph Martin;1800;m;Roman;321198;6.136.182.480.000.230;19.104.049.464.816.800
391;Die Abendburg;Wille, Bruno;1909;m;Roman;148449;3.353.706.680.000.320;22.591.642.112.781.600
392;Glasberg;Wille, Bruno;1920;m;Roman;123809;2.717.256.979.999.940;2.194.716.846.109.680
393;Die Europamüden;Willkomm, Ernst Adolf;1837;m;Roman;115475;24.662.729.499.998.400;2.135.763.541.892.050
394;Weisse Sclaven oder die Leiden des Volkes;Willkomm, Ernst Adolf;1845;m;Roman;269359;6.145.280.180.000.040;22.814.460.181.393.700
395;Elisa;Wobeser, Wilhelmine Karoline von;1795;f;Roman;74477;15.136.769.300.000.500;20.324.085.690.885.100
396;Agnes von Lilien;Wolzogen, Caroline von;1798;f;Roman;80236;17.358.135.300.000.200;2.163.384.926.965.480
397;Robert der Schiffsjunge;Wörishöffer, Sophie;1877;f;Roman;184996;4.613.873.820.000.270;24.940.397.738.330.900
400;Das Goldmacherdorf;Zschokke, Heinrich;1817;m;Roman;42250;9.391.635.800.000.270;222.287.237.869.829
401;Die Spielhölle in Baden-Baden;About, Edmond;1859;;;54329;12.346.587.700.000.500;2.272.559.351.359.400
402;Das Schloß im Moor;Achleitner, Arthur;1903;;;50877;122.527.268.000.004;2.408.303.712.876.230
403;Haus Nummer 37;Adolph, Karl;1908;;;102954;20.874.054.199.999.100;20.275.126.949.899.100
404;Schweres Blut;Aho, Juhani;1920;;;47350;10.781.433.600.000.200;22.769.659.134.108.300
405;Freikugel;Aimard, Gustave;1861;;;102079;23.219.095.999.999.400;2.274.620.245.104.220
406;Manuel Venegas;Alarcon, Pedro A. de;1882;;;59060;13.094.162.300.000.500;22.170.948.696.242.000
407;Anatewka;Alejchem, Scholem;1894;;;56616;1.135.358.360.000.030;20.053.666.101.456
408;Cabanis;Alexis, Willibald;1832;;;126759;293.631.698.000.004;23.164.564.094.068.500
409;Isegrimm;Alexis, Willibald;1854;;;228551;499.929.044.000.104;2.187.385.065.040.640
410;Der Roland von Berlin – Erster Band;Alexis, Willibald;1840;;;71665;1.629.203.619.999.990;22.733.602.455.870.900
411;Der Roland von Berlin – Zweiter Band;Alexis, Willibald;1840;;;67722;14.938.897.300.000.000;2.205.914.961.164.770
412;Der Roland von Berlin – Dritter Band;Alexis, Willibald;1840;;;80775;17.520.578.799.999.700;2.169.059.585.267.690
413;Walladmor;Alexis, Willibald;1824;;;152005;3.338.319.120.000.180;21.961.903.358.443.300
414;Der Werwolf;Alexis, Willibald;1848;;;65460;14.672.285.300.000.100;22.414.123.586.923.600
415;Der Werwolf;Alexis, Willibald;1848;;;78392;17.482.513.799.999.900;22.301.400.397.999.700
416;Der falsche Woldemar;Alexis, Willibald;1842;;;220349;4.821.545.570.000.640;21.881.404.363.081.500
423;Hollin's Liebeleben;Arnim, Achim von;1802;;;26129;5.656.540.000.000.010;21.648.513.146.312.500
424;Ssanin;Artzibaschew, M.;1908;;;129318;28.848.173.999.999.200;22.307.933.930.310.700
425;Der Schuhmeier;Ascher, Robert;1890;;;115617;2.484.736.389.999.860;214.910.989.733.332
426;Auf der Höhe Band I;Auerbach, Berthold;1865;;;75079;16.746.091.400.000.100;2.230.462.765.886.620
427;Auf der Höhe Zweiter Band;Auerbach, Berthold;1871;;;67143;1.488.171.540.000.010;2.216.420.982.083.040
428;Auf der Höhe Dritter Band;Auerbach, Berthold;1871;;;56069;1.269.220.400.000.040;22.636.758.279.977.100
429;Auf der Höhe Vierter Band;Auerbach, Berthold;1871;;;65027;14.465.019.800.000.400;22.244.636.535.593.500
430;Das Landhaus am Rhein / Band I;Auerbach, Berthold;1869;;;61656;1.403.501.690.000.010;22.763.424.322.045.000
431;Das Landhaus am Rhein / Band II;Auerbach, Berthold;1869;;;70844;16.198.496.500.000.000;2.286.502.244.367.910
432;Das Landhaus am Rhein / Band III;Auerbach, Berthold;1869;;;48349;10.930.709.800.000.200;2.260.793.356.636.170
433;Das Landhaus am Rhein / Band IV;Auerbach, Berthold;1869;;;75989;16.898.226.200.000.000;22.237.726.776.244
434;Das Landhaus am Rhein / Band V;Auerbach, Berthold;1869;;;52256;1.152.026.700.000.040;2.204.582.631.659.600
435;Landolin von Reutershöfen;Auerbach, Berthold;1878;;;56695;12.673.547.400.000.600;22.353.906.693.713.000
437;Aus dem Leben und den Schriften des Magisters Herle, und seines Freundes Mänle;Aurbacher, Ludwig;1842;;;25064;4.933.390.299.999.960;19.683.172.278.965.700
438;Die Hexe Drut;Bahr, Hermann;1919;;;129578;2.744.759.179.999.970;2.118.229.313.618.030
439;Himmelfahrt;Bahr, Hermann;1916;;;89024;185.337.350.999.993;20.818.807.400.250.800
440;O Mensch!;Bahr, Hermann;1910;;;74218;15.927.697.600.000.000;21.460.693.632.272.500
441;Die Rahl;Bahr, Hermann;1909;;;73888;16.006.522.400.000.200;21.663.223.256.821.400
442;Theater;Bahr, Hermann;1897;;;44107;9.950.650.600.000.290;2.256.025.256.762.030
475;Der gestohlene Mond;Barlach, Ernst;1896;;;78911;17.043.476.899.999.700;215.983.537.149.444
477;Graf Udo Bodo;Baudissin, Wolf Graf von;1920;;;70351;15.903.849.500.000.700;22.606.429.901.495.000
478;Die Kriegsurlauber;Schlicht, Freiherr von_(Wolf Graf von Baudissin);1757;;;80737;1.741.363.240.000.020;21.568.342.147.962.100
479;Der alte Hauptmann;Bauditz, Sophus;1854;;;60451;13.995.512.000.000.100;23.151.828.753.867.000
480;Wildmoorprinzeß;Bauditz, Sophus;1886;;;66674;15.268.764.200.000.200;22.900.627.231.004.900
484;Der Dunkelgraf;Bechstein, Ludwig;1882;;;156139;3.472.507.760.000.160;2.223.984.885.262.590
485;Die Nonnensusel;Becker, August;1828;;;117159;26.784.699.999.999;2.286.183.733.217.160
489;Die Heimkehr;Bentzon, Therese;1916;;;56603;1.259.659.110.000.060;2.225.428.175.185.170
490;Die Bräutigame der Babette Bomberling;Berend, Alice;1915;;;32711;8.288.009.700.000.130;2.533.707.223.869.680
492;Frau Hempels Tochter;Berend, Alice;1912;;;47586;12.056.536.699.999.900;25.336.310.469.465.700
493;Die Reise des Herrn Sebastian Wenzel;Berend, Alice;1912;;;43671;10.940.448.800.000.400;25.051.976.826.728.000
497;Hemmungslos;Bettauer, Hugo;1920;;;38965;9.262.287.300.000.210;23.770.787.373.284.200
506;Pankrazius Graunzer;Bierbaum, Otto Julius;1896;;;55461;11.223.655.200.000.300;20.237.022.772.759.900
512;Prinz Kuckuck;Bierbaum, Otto Julius;1906;;;236900;524.559.150.000.097;22.142.640.354.584.000
516;Das Schöne Mädchen von Pao;Bierbaum, Otto Julius;1899;;;33715;7.615.176.999.999.950;2.258.691.087.053.220
518;Die Schlangendame;Bierbaum, Otto Julius;1896;;;18611;4.080.437.300.000.020;2.192.486.862.608.140
521;Studenten-Beichten;Bierbaum, Otto Julius;1893;;;27313;5.821.996.599.999.990;21.315.844.469.666.400
529;Die Leuenhofer;Bindschedler, Ida;1919;;;68092;16.717.212.599.999.700;2.455.092.022.557.680
530;Die Turnachkinder im Sommer;Bindschedler, Ida;1906;;;62216;1.610.110.549.999.970;25.879.364.632.891.400
531;Die Turnachkinder im Winter;Bindschedler, Ida;1909;;;58221;15.099.448.200.000.100;2.593.471.118.668.540
532;Moderne Novellen;Birt, Theodor;1844;;;38113;9.018.775.600.000.250;23.663.252.958.308.800
548;Bismarck – Band 1;Bleibtreu, Karl;1881;;;201110;4.521.606.950.000.560;22.483.252.697.531.500
553;Dilettanten des Lasters;Blüthgen, Clara;1902;;;58691;13.329.181.600.000.400;22.710.776.098.550.800
561;Nachtwachen;Bonaventura;1804;;;43020;9.119.870.600.000.290;2.119.914.132.961.480
563;Annas Ehe;Boy-Ed, Ida;1900;;;67067;1.551.469.460.000.020;23.133.127.469.545.700
564;Empor!;Boy-Ed, Ida;1892;;;57915;13.502.802.000.000.400;2.331.486.143.486.220
565;Ein königlicher Kaufmann;Boy-Ed, Ida;1911;;;94101;210.871.501.999.992;22.409.060.690.108.700
566;Die Opferschale;Boy-Ed, Ida;1915;;;94418;2.168.367.129.999.920;2.296.561.174.775.910
567;Um ein Weib;Boy-Ed, Ida;1906;;;83446;19.274.611.799.999.700;230.983.052.513
569;Friedemann Bach;Brachvogel, Albert Emil;1858;;;85821;19.526.384.899.999.400;22.752.455.576.140.400
570;Die Tochter des Kunstreiters;Brackel, Ferdinande Freiin von;1875;;;95671;21.506.827.899.999.500;2.247.998.651.628.970
572;Gesammelte Erzählungen;Braun, Isabella;1862;;;37564;8.865.970.300.000.130;2.360.230.619.742.340
573;Geschichten aus der Jugendzeit;Braun, Isabella;1852;;;41157;9.644.608.700.000.190;23.433.701.921.909.200
574;Die Liebesbriefe der Marquise;Braun, Lily;1912;;;85564;1.890.621.059.999.940;220.959.873.311.199
579;Ein Mönchsleben aus der empfindsamen Zeit;Bronner, Franz Xaver;1912;;;112835;2.538.465.299.999.910;2.249.714.450.303.460
580;Ein Mönchsleben aus der empfindsamen Zeit - Band 2;Bronner, Franz Xaver;1796;;;109289;2.430.784.599.999.940;2.224.180.475.619.630
617;Ratsmädelgeschichten;Böhlau, Helene;1888;;;44752;10.050.912.300.000.200;22.459.135.457.633.700
621;Tagebuch einer Verlorenen;Böhme, Margarete;1905;;;86041;19.258.539.299.999.600;2.238.297.939.354.440
630;Ein Stadtjunker in Braunschweig;Carlssen, Egbert;1882;;;96055;2.198.648.599.999.910;2.288.947.582.114.320
635;Erinnerungen einer Überflüssigen;Christ, Lena;1912;;;68573;15.088.852.000.000.200;22.004.071.573.360.000
655;Mit den Augen des Westens;Conrad, Joseph;1913;;;111088;2.489.684.229.999.890;22.411.819.728.502.500
658;Der Geheimagent;Conrad, Joseph;1900;;;88848;20.879.545.299.999.500;2.350.029.859.985.530
660;Lord Jim;Conrad, Joseph;1920;;;123338;2.852.898.069.999.910;2.313.073.075.613.280
661;Majestät;Conrad, Michael Georg;1873;;;93594;20.911.321.299.999.400;2.234.258.745.218.640
678;Ulenspiegel;Coster, Charles de;1867;;;166898;4.080.809.450.000.520;2.445.091.882.467.440
695;Walhall;Dahn, Felix Dahn und Therese;1885;;;156135;3.572.511.450.000.090;22.880.913.632.434.000
696;Attila;Dahn, Felix;1882;;;58323;1.337.361.880.000.060;22.930.265.589.905.500
697;Die Bataver;Dahn, Felix;1890;;;70267;15.795.312.100.000.300;2.247.899.027.993.260
698;Bissula;Dahn, Felix;1876;;;69407;15.504.871.800.000.600;2.233.906.061.348.370
699;Vom Chiemgau;Dahn, Felix;1876;;;49749;11.115.972.700.000.500;22.344.112.846.490.500
700;Chlodovech;Dahn, Felix;1895;;;48717;10.659.161.100.000.400;2.187.975.675.842.190
701;Ebroin;Dahn, Felix;1876;;;76340;16.882.249.200.000.000;2.211.455.226.617.760
702;Felicitas;Dahn, Felix;1890;;;35211;8.191.136.400.000.270;23.263.004.174.832.500
703;Fredigundis;Dahn, Felix;1890;;;92702;20.462.636.199.999.400;22.073.564.971.628.900
704;Gelimer;Dahn, Felix;1876;;;82063;18.725.653.199.999.900;2.281.863.105.175.280
708;Die schlimmen Nonnen von Poitiers;Dahn, Felix;1876;;;39406;8.750.474.200.000.220;22.205.943.764.909.400
712;Sind Götter?;Dahn, Felix;1874;;;22944;5.093.220.900.000.030;22.198.487.186.192.600
714;Felix Dahn;Dahn, Felix;1834;;;42871;9.402.238.200.000.390;2.193.146.462.643.830
715;Der Vater und die Söhne;Dahn, Felix;1876;;;15298;3.392.206.000.000.020;22.174.179.631.324.500
733;Geschichten aus den vier Winden;Dauthendey, Max;1915;;;55450;1.344.518.110.000.020;24.247.396.032.462.000
735;Der Geist meines Vaters;Dauthendey, Max;1912;;;82436;20.075.775.500.000.100;2.435.316.548.595.280
736;Josa Gerth;Dauthendey, Max;1893;;;40155;963.043.200.000.011;239.831.453.119.166
739;Raubmenschen;Dauthendey, Max;1911;;;115281;2.780.231.629.999.990;2.411.699.785.740.920
